timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2020-09-25T00:00:00.000Z";"2020-09-25T23:59:59.999Z";"2020-09-25T20:46:26.000Z";"2020-09-25T10:15:26.000Z";"2781";3.14554425;3.2651654;2.91177164;3.18861239;15935143.49;122206478.07352893;"2020-09-25T23:59:59.999Z"
"2020-09-24T00:00:00.000Z";"2020-09-24T23:59:59.999Z";"2020-09-24T20:36:25.000Z";"2020-09-24T00:11:30.000Z";"2781";2.8381205;3.25156306;2.79564658;3.13271463;18993325.65;118764707.79699808;"2020-09-24T23:59:59.999Z"
"2020-09-23T00:00:00.000Z";"2020-09-23T23:59:59.999Z";"2020-09-23T01:04:44.000Z";"2020-09-23T20:59:29.000Z";"2781";2.93035489;3.06533837;2.74630293;2.83675707;16096650.33;107545200.18238471;"2020-09-23T23:59:59.999Z"
"2020-09-22T00:00:00.000Z";"2020-09-22T23:59:59.999Z";"2020-09-22T14:38:10.000Z";"2020-09-22T08:00:15.000Z";"2781";2.7736877405;2.9943702542;2.6686027119;2.915519109;18556523.39;110493813.334531;"2020-09-22T23:59:59.999Z"
"2020-09-21T00:00:00.000Z";"2020-09-21T23:59:59.999Z";"2020-09-21T03:49:13.000Z";"2020-09-21T10:01:21.000Z";"2781";2.8709033938;3.0269397477;2.5004193035;2.7825094148;19492893.62;104757856.3029;"2020-09-21T23:59:59.999Z"
"2020-09-20T00:00:00.000Z";"2020-09-20T23:59:59.999Z";"2020-09-20T00:53:25.000Z";"2020-09-20T16:28:29.000Z";"2781";3.0310284828;3.03287675;2.7201381368;2.8709033938;9217295.41;107361555.128177;"2020-09-20T23:59:59.999Z"
"2020-09-19T00:00:00.000Z";"2020-09-19T23:59:59.999Z";"2020-09-19T01:28:15.000Z";"2020-09-19T10:52:15.000Z";"2781";3.1117468638;3.2534204148;2.9717038069;3.0288911796;10763972.59;113270346.303239;"2020-09-19T23:59:59.999Z"
"2020-09-18T00:00:00.000Z";"2020-09-18T23:59:59.999Z";"2020-09-18T11:21:08.000Z";"2020-09-18T01:23:16.000Z";"2781";2.8918737832;3.159316565;2.7416758717;3.1079400641;23510207.1;116227097.944417;"2020-09-18T23:59:59.999Z"
"2020-09-17T00:00:00.000Z";"2020-09-17T23:59:59.999Z";"2020-09-17T21:59:17.000Z";"2020-09-17T10:35:18.000Z";"2781";2.5453987727;2.9341024459;2.3700338192;2.8918737832;23792219.51;107424214.43618;"2020-09-17T23:59:59.999Z"
"2020-09-16T00:00:00.000Z";"2020-09-16T23:59:59.999Z";"2020-09-16T00:00:12.000Z";"2020-09-16T14:57:16.000Z";"2781";2.9393074297;2.9393074297;2.4538387192;2.5453987727;24199803.58;93917562.6875188;"2020-09-16T23:59:59.999Z"
"2020-09-15T00:00:00.000Z";"2020-09-15T23:59:59.999Z";"2020-09-15T02:47:15.000Z";"2020-09-15T23:52:13.000Z";"2781";3.2691332042;3.3200671245;2.918472624;2.9391206713;11992537.78;107710516.414547;"2020-09-15T23:59:59.999Z"
"2020-09-14T00:00:00.000Z";"2020-09-14T23:59:59.999Z";"2020-09-14T08:42:31.000Z";"2020-09-14T01:02:17.000Z";"2781";3.231525518;3.524934341;3.0941740513;3.2691332042;21301450.1;118987736.46406;"2020-09-14T23:59:59.999Z"
"2020-09-13T00:00:00.000Z";"2020-09-13T23:59:59.999Z";"2020-09-13T09:46:19.000Z";"2020-09-13T16:12:26.000Z";"2781";3.3363805814;3.4667815313;3.0054016931;3.2258390602;15316353.18;113349810.373631;"2020-09-13T23:59:59.999Z"
"2020-09-12T00:00:00.000Z";"2020-09-12T23:59:59.999Z";"2020-09-12T20:03:18.000Z";"2020-09-12T09:06:24.000Z";"2781";3.4191019919;3.4670521723;3.1507268168;3.3326599913;10368518.36;117103942.771464;"2020-09-12T23:59:59.999Z"
"2020-09-11T00:00:00.000Z";"2020-09-11T23:59:59.999Z";"2020-09-11T00:17:23.000Z";"2020-09-11T03:52:15.000Z";"2781";3.4673354004;3.5010127523;3.0401710435;3.4274282632;17090627.46;120434613.072138;"2020-09-11T23:59:59.999Z"
"2020-09-10T00:00:00.000Z";"2020-09-10T23:59:59.999Z";"2020-09-10T06:04:14.000Z";"2020-09-10T08:19:24.000Z";"2781";3.6363777965;3.8513085618;3.3208089027;3.4698368119;31177874.79;120996908.90366;"2020-09-10T23:59:59.999Z"
"2020-09-09T00:00:00.000Z";"2020-09-09T23:59:59.999Z";"2020-09-09T14:53:17.000Z";"2020-09-09T05:26:11.000Z";"2781";2.4711781185;3.7517156829;2.3898060913;3.6363777965;52354542.08;125895646.215421;"2020-09-09T23:59:59.999Z"
"2020-09-08T00:00:00.000Z";"2020-09-08T23:59:59.999Z";"2020-09-08T00:09:14.000Z";"2020-09-08T22:35:15.000Z";"2781";2.9276292289;2.9397363346;2.3986406226;2.4689767582;10163724.6;84805195.3148526;"2020-09-08T23:59:59.999Z"
"2020-09-07T00:00:00.000Z";"2020-09-07T23:59:59.999Z";"2020-09-07T01:01:29.000Z";"2020-09-07T12:52:22.000Z";"2781";3.0860842934;3.1895601229;2.391492756;2.9285280901;17135013.48;99856838.0760455;"2020-09-07T23:59:59.999Z"
"2020-09-06T00:00:00.000Z";"2020-09-06T23:59:59.999Z";"2020-09-06T22:07:24.000Z";"2020-09-06T04:51:35.000Z";"2781";2.6003167758;3.1756373077;2.2881912589;3.086042693;20375889.88;103685156.764957;"2020-09-06T23:59:59.999Z"
